REG_DATE,ERR_DESCR,WORK_DESCR_LO,PERFORMED_ACTION_LO,RIG,AGE_OF_RIG,PERFORMED_ACTION_ID,PERFORMED_ACTION,ERR_TYPE,ERROR_TYPE,MCH_CODE,MCH_CODE_DESCRIPTION,SFI,Count_of_breakdown
26-Sep-17,WOP Order auger shaft for conveyor 2,"Order complete auger shaft assembly for conveyor/
Ager shafts on conveyor 2 is in bad condition. Nominal diameter has been radical reduced due to wear and tear. This wear and tear is also causing auger tips to start collapsing during heavy 
load on conveyors.
03.10.2017 WO 10300005376 created for ordering outstanding 6 augers for conveyor 3+4 and conveyor 2","Order complete auger shaft assembly for conveyor/
Ager shafts on conveyor 2 is in bad condition. Nominal diameter has been radical reduced due to wear and tear. This wear and tear is also causing auger tips to start collapsing during heavy 
load on conveyors.
03.10.2017 WO 10300005376 created for ordering outstanding 6 augers for conveyor 3+4 and conveyor 2",J113,1435,1,Replace,2.4,Wear,11195965,CONVEYOR NO.2; SCREW;CUTTING,326,9
20-Apr-17,Get quote from NOV for new set of polypenco plates,Get a quote from NOV for a new set of polypenco plates for our catwalk.,Polypenco plates replaced by drilling and hydraulic.,J113,1435,1,Replace,2.4,Wear,11160925,PIPEHANDLING CATWALK SHUTTLE SYSTEM,341,17
19-Sep-17,WO for Siemens/Halvorsen service enginners Control card exch,"WO for issuing service man hours.
PO 30223
Purchase orders made from J105P onshore?

19.04.2017 SBE137 Siemens has installed/replaced cards on mud pumps. Still outstanding on drawwork c-d and TDS. See attached service report.
14-05-2017 TBP010: All hours have been issued on a J105P WO and nown have to be pulled back. Awaitning answer from IFS gure ref below insert from mail string and moved date accordingly.

Problem here is that all hours for both visits have already been issued to the J105P WO and the PO auto closed when filled up with hours. Meaning I do not have a PO to issue from if I make a new J105 WO.
If I make a new PO to issue hours from – it will also be a mess since the invoices from both Halvorsen & Siemens will only be pointed at the “SPS PO’s”. I am in contact with Joy Marie Del Rosario – to see if she can assist. If not I suggest Igoris make an internal invoice against J105.

HNS 20.05.2017 Awaiting reply","WO for issuing service man hours.
PO 30223",J105,5361,12,Other,6.2,Other,11006308,DRILL'G DRIVE; 690V;MP/AW,867,5
29-Dec-17,WO created for deck paint project,WO created for issuing paint issued during deck project,spares booked out against this wo,S103,3169,1,Replace,1,General,12106655,MAIN DECK STBD FORWARD,152,1
30-Mar-17,repair door to drillfloor workshop,See M/E Mail in outlook to 08-06-2017 15:50,DOOR HAS BEEN FITTED,J115,1190,1,Replace,2,General,10788664,EXTERNAL DOORS; NON TYPE - GROUP,514,6
07-Dec-17,Issue 2 pcs MPR fron packers due to project ID,Issue 2 pcs MPR fron packers due to project ID,Issue 2 pcs MPR fron packers due to project ID,S103,3169,1,Replace,1,General,11136419,"BONNET; 15 1/2""; 3K",331,2
29-Dec-17,Motive winch spare parts to book out,WO created to book out TPC spare parts for Motive winches,spares booked out against this wo,S103,3169,1,Replace,1,General,11973790,UTILITY WINCHES - GROUP,365,1
13-Jun-17,Connect to Project Activity- Purchase of Test Sub,"Quote Attached
JBL 10/10-17: Still WOP; moved to 10/10-17.",NC 40 cross over for DSV test stand purchased and recieved onboard.,J108,3626,2,Repair,1.6,Sticking,12140383,TEST STAND; DSV,337,3
01-Jan-18,WO for Wall information screens and brackets,WO forpurchasing and issuing smart screens and brackets for rig offices. Order 53236,PO created,S103,3169,1,Replace,1,General,11147994,COMPUTERS/LAN/OFFICE EQUIPMENT - GROUP,542,7
13-Feb-17,Major overhaul mud pump no 3 2017,"Service personnel to overhaul pump primo 2017.
Parts already ordered and stored onshore in Stavanger.

PR 10100003382 created for SOS consumables
PR 357929 created for SOS rental equipment
SOS have been ordered out on the PO: 29394 and Wirth have been ordered out on Po: 29142 for the overhaul of the mud pump.",Disconnect MP #3 and AUX,J105,5361,10,Overhaul,6,General,11003127,MUD PUMP NO.3; HIGH PRESSURE;MUD SUPPLY,325,35
22-Nov-17,Install IFS part 1152121 in Structure under Object 11982727,to install in structure,a,S103,3169,1,Replace,1,General,11982727,ELEVATOR LINKS&BAILS - GROUP,345,3
18-May-17,April-May 2017_Deep Water Subsea Third Party,Complete EOW scope to bring us up to date on PMs.,WO only raised to track manhours manhours issued against PO,D101,1515,12,Other,6.2,Other,11247984,"BOP; 18 3/4"";15000PSI",331,12
11-Mar-17,Renew Pod relief valves (Blue and Yellow),Replace Blue Pod relief valve with new. 1931301-11,Blue Pod relief valve to be replaced,D101,1515,1,Replace,1.1,Leakage,11233697,MUX CONTROL POD SYSTEM,332,3
03-Apr-17,2017 CVI 10Y SPS Inspect sea chests,Inspect the sea chests as per class requirements as per 5Y SPS.,Inspection of sea chests and replacement of anodes,J110,3626,9,Inspection,1,General,10057354,SEA CHESTS - GROUP,262,1
09-Jul-17,Sounding pipes repair,Sounding pipes repair,"Repairs done by Keppel Fels on PO 36396
Parts from MAK on PO 36548",J110,3626,2,Repair,3.2,No signal/indication/alarm,11845194,SW PRELOAD TANKS - GROUP,285,1
12-Apr-17,2017 CVI 10Y SPS Add replace load cell on fwd leg B1,Replace faulty load sensor on fwd. leg B1,Faulty load sensor on fwd. leg B1 replaced by NOV-BLM.,J110,3626,1,Replace,3.2,No signal/indication/alarm,11847605,JACKING UNIT; TOP RIGHT B1;CHRD B;FWD,488,1
26-May-17,WO to cover CO-cost for 1028536 packer,"WO to cover packer cost for replacement ref CO 1140000010
4 ea packers installed ref WO 11400000222
4 ea packers installed ref WO 11400000221
6 ea packers installed before IFS go live Issued app August 2016","WO to cover packer cost for replacement ref CO 1140000010
4 ea packers installed ref WO 11400000222
4 ea packers installed ref WO 11400000221
6 ea packers installed before IFS go live Issued app August 2016",D101,1515,12,Other,6.2,Other,11247984,"BOP; 18 3/4"";15000PSI",331,12
22-Sep-17,Order required seat puller heads for heavy duty seat puller,No puller heads for heavy duty seat puller odered required heads.,Order required seat puller heads for heavy duty seat puller,J117,825,12,Other,1,General,11420700,HP MUD PUMP NO.1,325,23
10-Apr-17,Create TPC for Purchase of No 3 Rotary Bushings-Grooved,"Create TPC to purchase No 3 Rotary Insert Bushings Grooved for Completion purposes
Project Activity Code - 100014251
Wizard Created for Part - 1169682",TPC signed and bowls added to stock,J108,3626,12,Other,6.2,Other,11775237,BUSHING; MASTER,313,1
21-Dec-17,New hang off wire installed with shackle,Install new hang off wire,"Wo completed with reference to mail recieved Wed 21-Mar-18 06:52 from Michael Ingvardsen. See below extract
Hi Erik

The Breather is installed on the luffing gears and the hang off wires the same.
The should be removed/consumed for the job.

Br.
Michael Ingvardsen",J109,3626,N/A,Not Defined or Applicable,N/A,Not Defined or Applicable,11574638,RESCUE BOAT - GROUP,501,1
04-Feb-18,issue willden pump received on PO. 41067 (TPC),issue willden pump received on PO. 41067 (TPC),issue willden pump received on PO. 41067 (TPC),S103,3169,12,Other,1,General,11981998,"PUMP; DIAPH;2"" WILDEN- MUD PIT DRAINS",806,1
26-Nov-17,Install new riser adapter in structure,Install new riser adapter in structure,Install new riser adapter in structure,S103,3169,1,Replace,1,General,11146207,LOWER MARINE RISER PACKAGE,331,6
07-Jun-17,Replace Lower Choke Failsafe Assembly,Replace Lower Choke Failsafe Assembly with new.,Replace Lower Choke Valve Assembly,D101,1515,1,Replace,2.3,Erosion,10201838,DUAL GATE VALVES; FAIL SAFE - GROUP,331,7
26-Nov-17,Install new diverter in structure,Install new diverter in structure,Install new diverter in structure,S103,3169,1,Replace,1,General,12177827,DIVERTER SYSTEM - GROUP,334,2
04-Jun-17,Install New Toolframe in Structure,SPS Project Go Away Install New toolframe TF 975 in structure,new tool frame installed,D101,1515,1,Replace,1,General,11220805,HYDRATONG; ARN 200; MAIN WELL,342,54
27-Nov-17,Install new annular in structure,Install new annulars in structure,Install new annulars in structure,S103,3169,1,Replace,1,General,11146207,LOWER MARINE RISER PACKAGE,331,6
26-Nov-17,Install new riser connector into structure,Install new riser connector into structure,Install new riser connector into structure,S103,3169,1,Replace,1,General,11146207,LOWER MARINE RISER PACKAGE,331,6
25-Nov-17,Install new WHC in structure,Install new WHC in structure,Install new WHC in structure,S103,3169,1,Replace,6.3,Unknown,11146251,LOWER BOP ASSEMBLY,331,2
07-Dec-17,WO for issuing Telescopic Cylinder,This WO created only for issuing parts on Project Activity code.,Complete IBW plan,S103,3169,1,Replace,1.1,Leakage,11973364,PIPEHANDLING KNUCKLE BOOM CRANE (PDPH),342,13
27-Jan-18,Valve failed to test required rebuilding,Repair valve and retest.,TIW valve failed pressure test mechanic stripped and rebuilt the valve pressure test took place and passed test to 14800psi,S103,3169,10,Overhaul,1.1,Leakage,12104626,"VLV; TIW VX75;5 7/8"" PIN AND BOX",337,1
19-Sep-17,5Y Replace NT2 connector in structure after 5Y,WO for Replace NT2 connector in structure after 5Y. NT2 connector has been dismantled and installed new certified NT2 connector.,Changed NT-2 connector instructure and real life. Updated structure accordingly and started maintenance. Attached documentation onbj ID,J105,5361,12,Other,6.3,Unknown,11004685,"BOP STACK; 18 3/4""",331,12
14-Jan-16, Poor condition of Preload tank 19 SB,"28-10-2016: Mail from Mayumi states that the guarantee claim has been rejected. Cost is now on rig. We have to get quotes from several companies for sandblasting and painting of tank. After quote received the cost has to be added to budget for 2018. KLA110
09-11-2016: Have been in the tank to take photos and meassurements.Area in right below the manhole cover towards midship. Bulkhead 12 x 5 (75) m + approx 9 m2 on bottom. On the bulkhead it's mostly only the beam 'shelves'. Affected areas have been sprayed with ferrucid to limit the spreading of rust. FKJ014
14-06-2017: No updates regards to start the this project. BJO094
17.08.2017: Still waiting on SOW from NSE. KLA110
29092017: Received SOW and quote from NSE. 
PR Service: 10500053786
PR Hire parts: 10500053787
PR Paint: 10500053822",Work completed. See pictures attached. Equipment sent in return on 21.02.2018,J115,1190,12,Other,6.2,Other,10359882,TANK; 19SB;PRELOAD;ABOVE BOTTOM;STBD,285,2
26-Dec-17,Standard greasing.,pm,done as per attached operational comments. Still in await for spare parts for this machine till rig will reactivate.,J107,3992,7,Service,6.2,Other,12029991,GUMBO SHALE SHAKER,326,1
18-Dec-17,Unplug mud gun lines,.,Use mix pumps to flush and clean all mud guns. Mixing lines were also plugged with solids. Cleaned mixing lines A and B. Flushed all mud guns with mix pum A.,J107,3992,12,Other,1,General,11740496,MUD GUNS - GROUP,324,1
17-Jan-18,PRESERVE MUD PUMPS,All pumps opened cleaned flushed and removal of old guts. Also cavitys filled with preservant fluid. Pump room all lines cleaned and lines filled with preservant fluid. Mud pump room fully deep cleaned after words.,All pumps opened cleaned flushed and removal of old guts. Also cavitys filled with preservant fluid. Pump room all lines cleaned and lines filled with preservant fluid. Mud pump room fully deep cleaned after words.,J107,3992,7,Service,6.2,Other,11740640,MUD PUMPS - GROUP,325,2
26-Dec-17,BX-169 gasket,Replaced gaskets on mud pumps after inspection off discharge filters.,..,J107,3992,12,Other,2.2,Corrosion,11740641,MUD PUMP A,325,6
18-Nov-17,Clean sandtraps and all lines in lower shakers.,All sand traps were cleaned totally scrubbed down with soap and flushed with drill water. Also all piping in the lower shakers were opened and cleaned out. lower shaker house was cleaned after the job done.,All sand traps were cleaned totally scrubbed down with soap and flushed with drill water. Also all piping in the lower shakers were opened and cleaned out. lower shaker house was cleaned after the job done.,J107,3992,7,Service,6.2,Other,11740346,MUD/BARITE SURGE TANKS - GROUP,321,1
18-Dec-17,Clean solids out of sandtraps and mixing lines.,Clean solids out of sandtraps and mixing lines.,Clean solids out of sandtraps and mixing lines.,J107,3992,12,Other,6.2,Other,11740503,SHAKER PITS - GROUP,324,1
14-Jan-18,All HP valves were opened and cleaned.,All HP valves were opened Choke kill Cement Standpipe and standpipe pumproom in order to clean out valves before preserving them. Also all lines were filled with preservant.,All HP valves were opened Choke kill Cement Standpipe and standpipe pumproom in order to clean out valves before preserving them. Also all lines were filled with preservant,J107,3992,7,Service,6.2,Other,12144850,MANIFOLD,332,1
12-Jan-18,For this item see work order 12400000680,For this item see work order 12400000680,For this item see work order 12400000680,J107,3992,7,Service,6.2,Other,12184368,CHOKE AND KILL SYSTEM,336,3
12-Jan-18,Weekly functioning,Function all ball valve's as per stacking list and pm list of IFS according weekly and bi-weekly stacking procedure.,Function all ball valve's as per stacking list and pm list of IFS according weekly and bi-weekly stacking procedure.,J107,3992,7,Service,6.2,Other,12184353,DIVERTER SYSTEM - GROUP,334,1
12-Jan-18,All valves opened and cleaned.,Open all standpipe kill and choke valves in order to properly service them and preserve them. All were opened job still not totally finished as some stems still need to be replaced and some valves still need to be greased as we run out of spare parts.,Open all standpipe kill and choke valves in order to properly service them and preserve them. All were opened job still not totally finished as some stems still need to be replaced and some valves still need to be greased as we run out of spare parts.,J107,3992,7,Service,6.2,Other,12184368,CHOKE AND KILL SYSTEM,336,3
13-Nov-17,Clean preserve and storage.,All slips to be stored dry and preserved untill usage again.,Slips stored preserved and cleaned.,J107,3992,7,Service,6.2,Other,11743835,DRILL PIPE SLIPS - GROUP,344,1
26-Jan-18,Order Bathroom floor repairs as per quote,"Repair floors in bath rooms and treat with antislip as per Synergi cases.

PO68797",Order Bathroom floor repairs as per quote,J109,3626,N/A,Not Defined or Applicable,N/A,Not Defined or Applicable,11582801,ACCOMMODATION - GROUP,251,1
29-Aug-17,YARD Inner jib cylinders leaking.,"Replace cylinders.

ET to verify IP adress on new cylinder prior to installation.",Test off old PDPH cylinders and new PDPH cylinders,J109,3626,1,Replace,1.1,Leakage,11572212,CRANE; KNUCKLE BOOM;PDPH,342,5
03-Dec-17,YARD Repair or Replace Cuttings conveyor under cantilever,Overhaul Conveyor,Conveyor totally stripped downnew screwsnew hangers and bearngs fittednew end bearing fittednew grease lines fittedgearbox and motor re-fitted..tested ok..,J109,3626,1,Replace,2.4,Wear,12037877,CONVEYOR; CUTTING;UNDER CANTILEVER,326,4
22-Dec-17,POB Change seals,Change seals,Pump is leaking from plunger overhaul with a new seal kit.,J109,3626,10,Overhaul,1.1,Leakage,12082230,PUMP; HAND;HYDRAULIC,442,1
22-Jan-18,Order up Salt tablest due to scale build up during stacking,Order up Salt tablets for Ion Exchange filter for LO Purifier feed waterdue to scale build up on purifier water side during stacking period.,Added one bag of salts to the brine chamber on the ion exchanger filter. Have stored other 2 bags on shelves in Rig air compressor room.,J109,3626,1,Replace,6.2,Other,11575871,PURIFIER; LUBE OIL,712,5
04-Sep-17,YARD Change hoses 5Y,"Change all hoses.
Hoses outside hull: Object ID 11557699 11557700 11557701 and 11557702
IFS Part numbers: 1185085 11850861185087 1185088
Manual PR 10900249108 created due to that no PR was made via MRP.",na,J109,3626,1,Replace,1,General,11557698,HOSES; HYD;DRIVE PIPE SUPPORT - GROUP,335,1
22-Jan-18,Yard Broken spring disc on both pneumatic cylinder DDM.,"Replace spring disc package on both pneumatic lift cylinder.
See attachment.
we got one spring disc on stock p/n 1031468 but on Resolve or Reacher got a full spring disc package 10 pieces for both cylinder.",Spring package is changed on both pneumatic cylinder but discovered a crack in the retaining ring forward cylinder made a new WO. to replace and order an retaining ring.,J109,3626,1,Replace,2.5,Breakage,11569448,CYLINDER NO.1; PNEUM;HOISTING,313,1
02-Feb-18,WOP Get both temposonics repaired & tested.,"Get both temposonics from BRC lift cylinder repaired & tested as per attached quote.

Lift Temposonic:  IFS P/N 1122165 Model: HPH-1300-3000-A Serial: 120143  - Faulty communication and suspect Profibus communication card could be the issue. To be repaired and tested. Test report to be issued.

TSC Temposonic: IFS P/N 1112000 Model: HPH-1300-0550-A Serial: 120142 -No apparent faults however we would like you to verify that it is in good working condition.","Got both Temposonics from BRC lift cylinder repaired & tested as per attached quote.
Repair carried out on PO 68146 
Requested reports of repairs on mail to Logistic Coordinator Tue 20-Mar-18 08:52",J109,3626,9,Inspection,6,General,12100665,CYLINDER; HYD LIFT,341,1
29-Nov-17,Move Lower Choke A-22547-V2 to inventory,Valve has been dismantled,valve has been dismantled,D101,1515,1,Replace,1,General,10201838,DUAL GATE VALVES; FAIL SAFE - GROUP,331,7
12-May-16,Overhaul ME#3 Change timing gear,"Change timing gear ME#3
PP 09.06.2016 SBU Due to operation.

HNS 31.07.2016 Planned end of August postponed accordingly.
19.08.2016 SRU022
Man Parts arrived from PO 19440 for the overhaul. Placed in VVC room.
04.09.2016 EBR020 still missing some timesheets. Job done.",Jobb completed awaiting report from Man.,J105,5361,2,Repair,1,General,11004670,ENGINE NO.3; MAIN;DIESEL,651,15
12-May-16,Overhaul ME#4 Change timing gear,"Change timing gear ME#4
PP 09.06.2016 SBU Due to operation.
HNS 31.07.2016 Planned end of August postponed accordingly.
03.09.2016 EBR020 End date postponed. Overhaul ongoing.",Done my MAN Awaiting report,J105,5361,2,Repair,1,General,11004671,ENGINE NO.4; MAIN;DIESEL,651,19
08-Jul-16,Work hours for tech. from Assens Skibsværft representative.,"23.09.2016 SRU022 
PO 18239 have been created for logging servcie man hours.","Work done
Time sheet and report attached.",J105,5361,2,Repair,2.2,Corrosion,12017712,DERRICK SKIDDING SYSTEM - GROUP,489,6
30-Nov-17,Bilge vavle BG401F fail to operate from Kchief,troubleshoot and repair.,Actuator removed and found solenoid to be damaged internally.  Was able to repair and make operational.  Power supply and coil found to be badly corroded.  ET’s modified temporarily and connected.  Unit tested in operation and is not functioning due to what seems to be a weak coil.  With a magnet in place the actuator operates fine.  New coil and power supply to be ordered.  Valve is in manual for the time being.,D101,1515,2,Repair,1,General,11230856,VLV; BILGE SUCT;T/R;CNTR BOW,803,2
13-Jul-17,Replace Topside AHU No2 Impeller,Replace impeller shaft and install locking nut. Belts and DE bearing have been replaced.,This work order is not accurate as far as equipment number goes.  This work order will be closed and please see w/o# 2892 for all work completed on Topside AHU#3 : AMM106 2017.12.05 03:04:37,D101,1515,12,Other,1,General,10193533,FAN; CENTRIF; BELT DRIVE; AHU NO.2,574,2
09-Oct-16,Fan belts broken + Fan bearings broken,New bearings due end of November - dates adjusted CMD014,Fan belts broken + Fan bearings broken,D101,1515,1,Replace,1,General,11226774,AHU NO.2; HVAC PLANT RM; TOPSIDE,574,1
28-Nov-17,Replace Bladder on 15 GAL Accumulator,Rebulid accumulator with new bladder. Then set pre-caharge.,Disassemble accumulator. Install new accumulator repair kit. Precharge Accumulator for water depth,D101,1515,1,Replace,2.8,Burst,11895592,ACCUM NO.1; BLDR;15 GAL;AUTOSHEAR LINE,332,1
30-Nov-17,Replace UIK and UOK quick dump,Replace Upper Inner Kill and Upper Outer Kill quick exhaust valves.,Replaced Upper Inner Kill and Upper Outer Kill quick exhaust valves,D101,1515,1,Replace,1.1,Leakage,11220422,STACK MOUNTED CTRL AND INSTRUMENT,332,3
02-Dec-17,Replace Lower Pipe Rams Open Shuttle,Replace shuttle valve with new shuttle valve serial number 4066I,Replaced shuttle valve with new. Serial number of new valve is 4066I.,D101,1515,1,Replace,1.1,Leakage,12179674,SHUTTLE VALVES - GROUP,332,4
13-Apr-17,1 yearly Dual compact Ram BOP,We are required to pull the BOP and perform all maintenance as per the OEM.,Carry out PM as per yearly task list.,D101,1515,9,Inspection,1,General,11895966,LOWER BOP ASSEMBLY,331,4
06-Dec-16,Finger 1 row 33 stuck,Replace finger.,Replaced finger.,D101,1515,1,Replace,1.6,Sticking,11893078,FINGERBOARD 6,341,2
02-Dec-16,High clean fuel leakage rate,investigate,Seth discovered HP Pipe on unit B8. Tighted up o.k. Clean fuel leakage alarm cleared.,D101,1515,4,Adjust,1.1,Leakage,11238805,MGE SET NO.2; E/R;PORT,651,1
07-Dec-16,High Pressure Washer- Replace Overflow Switch,Remove old swtich. Change out or repair hose install new swtich as required. Install heavier hose clamps to resolve any leaks.,replace overflow swtich and hose connection and clamps,D101,1515,1,Replace,1.6,Sticking,11237702,DELTA BOOSTER UNIT; WASHDOWN SYS,444,9
06-Dec-16,Dirty Filter- Fuel- Main Engine No. 5- 9420 hours,Change to clean filter and swap out the dirty filter with a clean spare. Clean the dirty filter and return to spares box.,clean dirty fuel filter and put back in spare part box,D101,1515,1,Replace,2,General,11618260,ENGINE FUEL OIL SYSTEM; MGE 5,651,1
08-Dec-16,Perished hose,Spliced hose & crimped new fitting at end,Spliced hose & crimped new fitting at end.,D101,1515,2,Repair,1.1,Leakage,11539138,HOSES; SERVICE & ACCESS BASKET 1 - GROUP,317,1
13-Dec-16,Issue parts from August 2016 Telescopic Joint Rebuild,Send Ashore to be cleaned and packers overhauled.,Work order created for issuing parts used during rebuild of Telescopic Joint #1 in August 2016,D101,1515,12,Other,6,General,11253487,TELESCOPIC JOINT NO.1,335,2
20-Dec-16,Rubber bumpers on trolley damaged.,replce,Rubber bumpers on trolley damaged.,D101,1515,1,Replace,2.4,Wear,11238183,TROLLEY; RISER HANDLING CWM,347,1
10-Dec-16,SCRAP PRV,removal of psv within IFS structure,Removal of PSV - found not installed on equipment and not found on rig,D101,1515,12,Other,6.2,Other,11631295,PIPING; WCCU NO.2;TOPSIDE - GROUP,574,2
10-Dec-16,ABB SUPPLY UNIT 1 TROUBLESHOOTING,BREAKING RESISTORS UNITS HAVE BEEN SHUTDOWN ONE BY ONE FOR CHECKING THE INSULATION RESISTANCE VALUES.,BREAKING RESISTORS UNITS HAVE BEEN SHUTDOWN ONE BY ONE FOR CHECKING THE INSULATION RESISTANCE VALUES.,D101,1515,6,Check,3.1,Control failure,10179950,RECTIFIER; SU1;SWBD 1 ER107;TOPSIDE SWGR,867,1
12-Dec-16,Calorifier#1 - troubleshoot and repair,Need to remove heater unit from calorifier- inspect and repair/replace bad elements,"Calorifier #1 – Troubleshoot heater  – had Alister  open the drain of the tank  to remove heater.  Measure elements and found at least one dead short. Tank was still draining at end of shift – will continue tomorrow.  Look for parts in stock – as per IFS - we have 4 heater elements on hand – part #1133920 Location- D101-EB-01-50-SH
Replaced Heater cartridge with new one and Maint Eng re-fill the tank.",D101,1515,1,Replace,2.5,Breakage,11617780,FRESH WATER CALORIFIERS - GROUP,581,1
13-Dec-16,Water booster pump leaking water from muffler.,Replace water booster pump.,Replace water booster pump.,D101,1515,1,Replace,1.1,Leakage,11618023,BOOSTER PUMP UNIT; HYDRATONG; MN WELL,342,1
06-Aug-16,Sack room forklift for repair.,send ashore for repair,Forklift to be sent ashore for repair,D101,1515,7,Service,3.3,Faulty signal/indication/alarm,11261013,FORKLIFT; 2.5T;SACK STORE ROOM,454,4
22-Sep-16,Hard drive for storage fail,Replaced Hard Drive,FAULTY HARD DRIVE HAS BEEN LOCATED AND REPLACED,D101,1515,1,Replace,6.3,Unknown,11239128,CABINET; MAIN SERVER;ADM NET,423,3
20-Oct-16,Order parts for helifuel system gauge,replace gauge,Order parts for helifuel system gauge,D101,1515,1,Replace,2.5,Breakage,11247966,FILTER; TRIPPLE;DISPENSER UNIT;HELIDK,566,1
30-Nov-16,New pipewipers for main rotary table,Replace the worn wipers by new ones.,wipers replaced cut to size manually.,D101,1515,1,Replace,2.4,Wear,11220334,"ROTARY SUPPORT TABLE RST 75.5""MN WELL",313,5
04-Dec-16,Worn latch pin on Single joint pick up elev. replace same.,Replace worn latch pins secure to elevator body,replace latch pin,D101,1515,1,Replace,2.4,Wear,10189985,"SPL ELEVATOR - 5 7/8"" IEU",345,1
28-Nov-16,Change Out Fuel Oil Supply Pump #4,Take one of the rebuilt pumps from stock and change out with currently pump in service to reduce down time of the unit then rebuild the pump in the shop and once completed place back in stock as a spare,Electrically isolated and wires removed from old motor. New motor hooked up. Had to retap and find new hardware to install lid on peckerhead. Ready for op/rotation check. Replaced bearings on motor.,D101,1515,2,Repair,5,General,11232306,FUEL OIL SUPPLY SYSTEM; ENGINE ROOM;CNTR,703,1
26-Dec-16,Faulty O-Ring on Lid,"Faulty o-ring on lid of filter housing
Req replacement",faulty o-ring on fuel housing required replacement,D101,1515,1,Replace,1.1,Leakage,11246397,FILTER; DUPLEX; FUEL OIL; MGE 1,651,1
19-Aug-16,Saltwater cooling piping is leaking,Pipe replaced with Stainless,Fabricated cooling lines from 316 stainless Steel material and installed,D101,1515,1,Replace,1.1,Leakage,11263310,COOLING SKID; MAIN TD,313,2
03-Dec-16,Spare parts for maintenance on Multi Purpose Safety Clamp,Maintenance to be performed on Multi Purpose Clamps re-fit links and Die Carriers.,inspected and replaced defective parts.,D101,1515,1,Replace,1.4,Deformation,10189876,SAFETY CLAMPS - GROUP,344,1
28-Nov-16,change out die carrier on PH on MWTDX,replace dies,Die blocks exchanged during IBOP / SSUB exchange.,D101,1515,1,Replace,1.4,Deformation,11220255,TOP DRIVE SYSTEM; MAIN WELL,313,16
11-Dec-16,Replace pressure gauge on backflush filter,Replace gauge.,Replaced both gauges with new.,D101,1515,1,Replace,3,General,12155897,AUTO BACKFLUSH FILTER,651,12
16-Sep-16,Order replacement stabbing guide spacers,"
Aux hydratong stabbing guide spacers have been removed and fitted to
main. Replacement required for aux.",Replaced stabbing guide spacers with new ones.,D101,1515,1,Replace,1.4,Deformation,11220806,HYDRATONG; ARN 200; AUX WELL,342,15
18-Dec-16,Scrap HWDP due to lost in hole,Cancelled : KPI031 2016.12.18 10:09:58,Cancelled : KPI031 2016.12.18 10:09:58,D101,1515,1,Replace,1,General,11658815,"6 5/8"" DRILL PIPES; HEAVY WEIGHT - GROUP",351,1
31-Aug-16,Wire rusted,wire changeout will be done IBW,Wire changed out.,D101,1515,1,Replace,2.2,Corrosion,10183873,WIRE; D10; MANRIDER WINCH NO.2,365,1
25-Dec-16,Water Observed Coming Out Exhaust Ports,Replace pump with spare order rebuild kit for pump and overhaul,"Installed replacement jockey pump from stock

Old pump to be rebuilt and placed into inventory",D101,1515,1,Replace,1.1,Leakage,10188529,PUMP; PNEUMATIC;SPU 1,815,2
18-Nov-16,Pressure washer parts from Whse,Replace spray handle and booster,Pressure washer parts from Whse,D101,1515,1,Replace,1.1,Leakage,11237713,SPRAY HANDLE; WASHDOWN SYSTEM,444,3
02-Sep-16,Change Pressure Filter,Delayed work order - waiting on parts,Closed the WO due to long time waiting on parts to arrive.  The 6M PM will show up in the MECH WO by the time the parts arrive.  We will change both filters in the solenoid cabinets when we perfrom the next 6M.,D101,1515,12,Other,1,General,11237831,CABINET NO.2; VLV;SOLENOID,801,1
14-Oct-16,OSM Network Issues,"Replaced faulty modules.
Recieved tech bulletin from NOV reporting faulty modules within a serial range.
Reported our serial numbers to NOV and they will be replaced.","Replaced faulty modules.
Recieved tech bulletin from NOV reporting faulty modules within a serial range.
Reported our serial numbers to NOV and they will be replaced.",D101,1515,1,Replace,3.1,Control failure,11220300,DRILLING CONTROL INTERFACE SYSTEM (DCI),311,1
26-Nov-16,Replace faulty pressure transducer.,The pressure transducer (11232514) for Pilot Pressure Pump B Centre Bow Thruster is intermittently giving a broken wire alarm.,Observed transmitter Tightened all connections in terminal box.  Fault has not returned.,D101,1515,6,Check,6.3,Unknown,11617855,INSTRUMENTATION STEERING SYS - GROUP,404,1
26-Nov-16,Replace Pinch Valve on #1 Mudpump and overhaul spares,overhaul the pinch valve inner liner,Replaced #1 MP pinch valve and completed overhaul on 4 spare valves.,D101,1515,1,Replace,2.4,Wear,10182197,REMOTE AUX UNIT; LINER SPRAY,325,1
06-Dec-16,Dirty Filter- Fuel- Main Engine No. 4- 14600 hrs.,Remove dirty filter and replace dirty with clean spare. Clean dirty filter and return to spares box.,filter dirty,D101,1515,1,Replace,5.1,Blockage/plugged,11618246,ENGINE FUEL OIL SYSTEM; MGE 4,651,1
08-Dec-16,Grease hose torn,replace hose,Replaced hose.,D101,1515,1,Replace,2.5,Breakage,11891056,HOSE 36; GREASE; RETRACT CYL,313,1
21-Nov-16,Replace MP valves and seats,Replace valves and seats,Replced Valve and seats,D101,1515,1,Replace,2.4,Wear,11220208,MUD PUMP SYSTEM NO.4,325,13
